instrument,name,Year,q,ESGscore,Firm_Size,Leverage
AMZN,Amazon.com Inc,2011,3.1924796265527338,43.2045832911328,10.137689731207072,0.24996777104550727
AMZN,Amazon.com Inc,2012,3.6510207341422207,42.5722244199135,10.390686245670963,0.60595703125
AMZN,Amazon.com Inc,2013,4.730237555716029,45.9598244529012,10.600601853657185,0.7097270675148779
AMZN,Amazon.com Inc,2014,2.942881387028713,49.8114512236309,10.906047719562459,1.4979052229773764
AMZN,Amazon.com Inc,2015,5.132497860766457,50.337776477423,11.088950094102968,1.3110430364614465
AMZN,Amazon.com Inc,2016,4.533440325172058,65.288083450002,11.33142756887465,1.0583354939071818
AMZN,Amazon.com Inc,2017,4.646793694311172,71.4852733484693,11.785316218853051,1.5932368544516222
AMZN,Amazon.com Inc,2018,4.837171499188432,85.0328509923201,11.999343635484058,1.1318055523663
AMZN,Amazon.com Inc,2019,4.429603459298195,87.0604862012125,12.324957296407858,1.249355462455688
AMZN,Amazon.com Inc,2020,5.426534628496707,86.0457432629692,12.679803694308427,1.121365252023468
AMZN,Amazon.com Inc,2021,4.367947754007262,78.0370922141241,12.949316279549212,1.0109371044160729
AMZN,Amazon.com Inc,2022,2.226759604473983,78.0370922141241,13.04478014274595,1.163616195230172
AMZN,Amazon.com Inc,2023,3.2951630943404804,79.7878423018153,13.176575009299519,0.8013473684210526
GOOGL,Alphabet Inc,2004,15.531354942473644,48.4579119743916,8.105715342960247,0.0006493559699780407
GOOGL,Alphabet Inc,2005,11.834832002880114,61.0466819239159,9.237158820935372,0.0
GOOGL,Alphabet Inc,2006,7.702280899659192,61.6811729333817,9.824084486081857,0.0
GOOGL,Alphabet Inc,2007,8.540318281565622,56.2641134194861,10.139973931100432,0.0
GOOGL,Alphabet Inc,2008,3.051690980504492,55.2975469584883,10.366201394479342,0.0
GOOGL,Alphabet Inc,2009,4.864887882191517,37.2229286585471,10.608977694374364,0.0
GOOGL,Alphabet Inc,2010,3.358769165096541,43.6201652437054,10.965626018557122,0.0749335005730845
GOOGL,Alphabet Inc,2011,2.949454081351448,47.5564415673818,11.192362009948436,0.0723020036116605
GOOGL,Alphabet Inc,2012,2.547576121239259,49.2675601408224,11.44889881280538,0.0772083943387018
GOOGL,Alphabet Inc,2013,3.4404551092679405,43.5804259541653,11.616564499729714,0.060073990081205834
GOOGL,Alphabet Inc,2014,2.7924097940259123,43.5804259541653,11.783967354323712,0.05011483253588517
GOOGL,Alphabet Inc,2015,3.6618741055601145,62.1599457155099,11.901319013020714,0.0433803425551188
GOOGL,Alphabet Inc,2016,3.294089672352341,62.2739148862608,12.028720719639104,0.028302022497770363
GOOGL,Alphabet Inc,2017,3.7297114077903655,62.2739148862608,12.192455349570988,0.026025888185072982
GOOGL,Alphabet Inc,2018,3.1394558136018422,65.99937556082,12.357900629987787,0.022586529150809557
GOOGL,Alphabet Inc,2019,3.399367239379651,69.6768388459668,12.527826380188019,0.07926351009223498
GOOGL,Alphabet Inc,2020,3.7867130746896276,77.5233873996529,12.67487555419939,0.12075364871665828
GOOGL,Alphabet Inc,2021,5.418514929913045,77.5233873996529,12.791823907070222,0.11329107636060166
GOOGL,Alphabet Inc,2022,3.1857622705768978,81.1191383734943,12.808375658789393,0.11703182584796053
GOOGL,Alphabet Inc,2023,4.3997007892801046,81.1191383734943,12.905182016854337,0.10625838287456552
META,Meta Platforms Inc,2012,4.3367495464477255,29.6181851158801,9.62264867856634,0.20042535091450447
META,Meta Platforms Inc,2013,7.804805979323834,32.853279520576,9.792276623200125,0.03076923076923077
